sr_no,date,startup,industry,subvertical,city__location,investors,investment_type,amount,remarks,year
1,2020-09-01,BYJUâS,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,200000000.0,,2020
3,2020-09-01,Mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,18358860.0,,2020
4,2020-02-01,https://www.wealthbucket.in/,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,3000000.0,,2020
5,2020-02-01,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,1800000.0,,2020
7,2020-10-01,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,150000000.0,,2020
8,2019-12-12,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000000.0,,2019
9,2019-06-12,CarDekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,70000000.0,,2019
10,2019-03-12,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,50000000.0,,2019
16,2019-11-12,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,50000000.0,,2019
25,2019-12-11,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,1300000.0,,2019
27,2019-11-11,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,300000.0,,2019
33,2019-04-10,Dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,45000000.0,,2019
34,2019-02-10,Udaan,B2B,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,585000000.0,,2019
36,2019-05-09,FPL Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,4500000.0,,2019
37,2019-04-09,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,3300000.0,,2019
38,2019-04-09,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,6000000.0,,2019
39,2019-04-09,3rdFlix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,5000000.0,,2019
40,2019-04-09,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,18000000.0,,2019
41,2019-04-09,Myelin Foundry,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed,1000000.0,,2019
42,2019-04-09,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,10000000.0,,2019
